sector  pad  layer noise_in_MeV
3  34  3 0.03135580068984177
3  33  3 0.03182615977040876
3  32  3 0.03613999431294126
3  31  3 0.027387303992297756
3  30  3 0.032264569154021094
3  29  3 0.0253810818202343
3  28  3 0.02511344370135086
3  27  3 0.028356147391853968
3  26  3 0.03705223303609378
3  25  3 0.020562241651637017
3  24  3 0.02247434313701496
3  23  3 0.021040305693503018
3  22  3 0.029691777885659267
3  21  3 0.029344655592258215
3  20  3 0.02473416098467506
3  19  3 0.029042507675808096
3  18  3 0.0445698182846862
3  17  3 0.02910835292552408
3  16  3 0.027720016192236505
3  15  3 0.037098810278138904
3  14  3 0.0470713280126279
3  13  3 0.0341278269685284
3  12  3 0.03682327440579127
3  11  3 0.03712565994979384
3  10  3 0.04293433096271925
3  9  3 0.02978060799664922
3  8  3 0.03730590717361808
3  7  3 0.03269520408148421
3  6  3 0.060770206694045495
3  5  3 0.045624095514648154
3  4  3 0.04031922629763983
3  3  3 0.03390717857725278
3  2  3 0.04676549238557643
3  1  3 0.05052076094843476
3  0  3 0.061431918723858704
2  0  3 0.07096836972371919
2  1  3 0.06973663403101998
2  2  3 0.05667852925356961
2  3  3 0.06740734599258469
2  4  3 0.05382573426652066
2  5  3 0.07215700067511582
2  6  3 0.04991331318781079
2  7  3 0.05487470747017087
2  8  3 0.051652917246050714
2  9  3 0.041920105184188164
2  10  3 0.05070687712445009
2  11  3 0.036974466056907886
2  12  3 0.02903546403647103
2  13  3 0.04893762342462144
2  14  3 0.042076899016941685
2  15  3 0.04378977221730291
2  16  3 0.030069937475884455
2  17  3 0.04176530652616726
2  18  3 0.029324289117599704
2  19  3 0.04053787503064408
2  20  3 0.030387264412688235
2  21  3 0.03345596644881108
2  22  3 0.028760831597176507
2  23  3 0.027311402165221477
2  24  3 0.03078267441815801
2  25  3 0.04476896362423651
2  26  3 0.0358553927252916
2  27  3 0.02977884372416093
2  28  3 0.033670544128652995
2  29  3 0.03146966912284173
2  30  3 0.025261064213872943
2  31  3 0.04183314695061591
2  32  3 0.026693673650300967
2  33  3 0.03476311750463489
2  34  3 0.027754292845789487
2  35  3 0.032398743533906794
2  36  3 0.03465409129345797
2  37  3 0.03211905814646913
2  38  3 0.026758245575019074
2  39  3 0.03539577844527916
2  40  3 0.03039304593587417
2  41  3 0.02619415363386629
2  42  3 0.027665137678241955
2  43  3 0.03865068632819185
2  44  3 0.028671176515061143
2  45  3 0.03417708088319239
2  46  3 0.02924309895659723
2  47  3 0.029625062829430615
2  48  3 0.032421564746017255
2  49  3 0.03322437822304635
2  50  3 0.033355062168034584
2  51  3 0.04357445475357136
2  52  3 0.035674212925412535
2  53  3 0.03717449241181767
2  54  3 0.03733652525957142
2  55  3 0.03542123597815998
2  56  3 0.044217371789049144
2  57  3 0.04248422402657329
2  58  3 0.039896374793403404
2  59  3 0.05412256246427352
2  60  3 0.040004015591114286
2  61  3 0.05311711545456605
2  63  3 0.04590111543831376
1  62  3 0.04982719622948132
1  60  3 0.05301590698349403
1  61  3 0.06037913205734862
1  58  3 0.04561353612087219
1  59  3 0.05508255872307249
1  56  3 0.04755432413287537
1  57  3 0.05026718046359792
1  54  3 0.04089873775790641
1  55  3 0.044079197798739686
1  52  3 0.04090130601787768
1  53  3 0.0460180109564951
1  50  3 0.0359986781280668
1  51  3 0.03648907811245118
1  48  3 0.034164798091207746
1  49  3 0.03675748976292341
1  46  3 0.03711078216808378
1  47  3 0.04701555446115781
1  44  3 0.030492613584415254
1  45  3 0.027046739778824814
1  42  3 0.03212333049053423
1  43  3 0.03916858266789065
1  40  3 0.03150679855918758
1  41  3 0.0347702499508854
1  38  3 0.02807354055927852
1  39  3 0.03190604192995218
1  36  3 0.025247210812487184
1  37  3 0.028510678819545252
1  34  3 0.032666797561958935
1  35  3 0.03756257280247492
1  32  3 0.022980543366126035
1  33  3 0.035894143775816685
1  30  3 0.02711637238004211
